A666600007|20211025|12000000005     |14              |00W40|511220|1|511220|130939|130939|      0.00000|      30000.000|           0.00000|0390001035|S|IER
A666600007|20211025|12000000006     |14              |00W40|511220|A|      |130939|130939|      0.00000|          0.000|    10553368.80000|0390001035|S|IER
A666600007|20211025|12000000017     |21              |00W40|511220|1|511220|131630|131630|      0.00000|      30000.000|           0.00000|0240001091|S|IER
A666600007|20211025|12000000018     |21              |00W40|511220|2|122515|131630|131630|      0.00000|         30.000|           0.00000|0240001091|B|IER
A666600007|20211025|12000000019     |21              |00W40|511220|A|      |131630|131630|      0.00000|          0.000|     9680248.80000|0240001091|S|IER
A999900007|20211025|12000000001     |12              |13301|511220|1|511220|130939|130939|      0.00000|      30000.000|           0.00000|0390001036|B|IEC
A999900007|20211025|12000000002     |12              |13301|511220|A|      |130939|130939|      0.00000|          0.000|    10553368.80000|0390001036|B|IEC
A999900007|20211025|12000000013     |19              |13301|511220|1|511220|131630|131630|      0.00000|      30000.000|           0.00000|0240001092|B|IEC
A999900007|20211025|12000000014     |19              |13301|511220|2|122545|131630|131630|      0.00000|        400.000|           0.00000|0240001092|S|IEC
A999900007|20211025|12000000015     |19              |13301|511220|A|      |131630|131630|      0.00000|          0.000|     9680248.80000|0240001092|B|IEC
