A117212000   |20221206|1200801000569171|00W40   |        5000.000|019666      |100233|100538|        99.99700|      4999850.00000|0000550000|B|BTR|  
A117212000   |20221206|1200801000630866|00W40   |        5000.000|019666      |101123|101123|        99.99600|      4999800.00000|0000550001|B|BTR|  
A117212000   |20221206|1200801000636447|00W40   |        5000.000|019666      |101153|101153|        99.99600|      4999800.00000|0000550002|B|BTR|  
A117212000   |20221206|1200801000697448|00W40   |        1500.000|019666      |101552|101552|        99.99600|      1499940.00000|0000550003|B|BTR|  
A117212000   |20221206|1200801000708548|00W40   |        3500.000|019666      |101552|101634|        99.99600|      3499860.00000|0000550003|B|BTR|  
A117212000   |20221206|1200801000968599|00W40   |        5000.000|019666      |103312|103312|        99.99200|      4999600.00000|0000550004|B|BTR|  
A117212000   |20221206|1200801001075695|00W40   |         300.000|019666      |104035|104035|        99.99200|       299976.00000|0000550006|B|BTR|  
A117212000   |20221206|1200801001112336|00W40   |        4700.000|019666      |104035|104307|        99.99200|      4699624.00000|0000550006|B|BTR|
A117252000   |20221206|2200801000569171|00W40   |        5000.000|019666      |100233|100538|        99.99700|      4999850.00000|0000550007|S|BTR|  
A117252000   |20221206|2200801000630866|00W40   |        5000.000|019666      |101123|101123|        99.99600|      4999800.00000|0000550008|S|BTR|  
A117252000   |20221206|2200801000636447|00W40   |        5000.000|019666      |101153|101153|        99.99600|      4999800.00000|0000550009|S|BTR|  
A117252000   |20221206|2200801000697448|00W40   |        1500.000|019666      |101552|101552|        99.99600|      1499940.00000|0000550010|S|BTR|  
A117252000   |20221206|2200801000708548|00W40   |        3500.000|019666      |101552|101634|        99.99600|      3499860.00000|0000550010|S|BTR|  
A117252000   |20221206|2200801000968599|00W40   |        5000.000|019666      |103312|103312|        99.99200|      4999600.00000|0000550012|S|BTR|  
A117252000   |20221206|2200801001075695|00W40   |         300.000|019666      |104035|104035|        99.99200|       299976.00000|0000550013|S|BTR|  
A117252000   |20221206|2200801001112336|00W40   |        4700.000|019666      |104035|104307|        99.99200|      4699624.00000|0000550013|S|BTR|    
